country,year,mean_act,du_obs,num_obs,drug_1yr_ago,drug_2yr_ago,drug_3yr_ago,drug_4yr_ago,drug_5yr_ago
Cambodia,2000,1.83798838789396e-4,0,16,NA,NA,NA,NA,NA
Cambodia,2001,1.8203253750290676e-4,0,16,1.83798838789396e-4,NA,NA,NA,NA
Cambodia,2002,1.83798838789396e-4,1,16,1.8203253750290676e-4,1.83798838789396e-4,NA,NA,NA
Cambodia,2003,1.9439664650806884e-4,0,16,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4,NA,NA
Cambodia,2004,1.88554265348434e-4,1,16,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4,NA
Cambodia,2005,1.41e-4,1,16,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4,1.83798838789396e-4
Cambodia,2006,4.11360427509357e-5,1,16,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4,1.8203253750290676e-4
Cambodia,2007,3.924028500623802e-6,0,16,4.11360427509357e-5,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4,1.83798838789396e-4
Cambodia,2008,0,1,16,3.924028500623802e-6,4.11360427509357e-5,1.41e-4,1.88554265348434e-4,1.9439664650806884e-4
Cambodia,2009,0,1,16,0,3.924028500623802e-6,4.11360427509357e-5,1.41e-4,1.88554265348434e-4
Cambodia,2010,0,1,16,0,0,3.924028500623802e-6,4.11360427509357e-5,1.41e-4
Cambodia,2011,0,1,16,0,0,0,3.924028500623802e-6,4.11360427509357e-5
Cambodia,2012,1.87468803866381e-5,1,16,0,0,0,0,3.924028500623802e-6
Cambodia,2013,3.90364135354825e-4,1,16,1.87468803866381e-5,0,0,0,0
Cambodia,2014,9.49e-4,1,16,3.90364135354825e-4,1.87468803866381e-5,0,0,0
Cambodia,2015,0.00172457051201936,1,16,9.49e-4,3.90364135354825e-4,1.87468803866381e-5,0,0
Cambodia,2016,0.00268608500750231,1,16,0.00172457051201936,9.49e-4,3.90364135354825e-4,1.87468803866381e-5,0
