country,year,ACT_use,ACT,data type
Afghanistan,2015,0.044,7.85E-04,DHS
Benin,2006,0.007,0.003476906,DHS
Burkina Faso,2010,0.247,0.08068955,DHS
Burkina Faso,2014,0.278,0.124748244,DHS
Burundi,2010,0.695,0.116653197,DHS
Burundi,2012,0.689,0.17453359,DHS
Cameroon,2011,0.262,0.059157684,DHS
Cameroon,2018,0.212,0.064302831,DHS
Comoros,2012,0.16,0.039661233,DHS
Djibouti,2006,0.023,0.002166098,MICS
Ethiopia,2011,0.276,NA,DHS
Gabon,2012,0.34,0.078916563,DHS
Gambia,2013,0.379,0.025976725,DHS
Ghana,2006,0.072,0.027929413,MICS
Ghana,2014,0.782,0.371797027,DHS
Ghana,2019,0.845,0.370292857,DHS
Guinea,2012,0.048,0.008529711,DHS
Guinea,2018,0.182,0.04262899,DHS
Kenya,2014,0.858,0.230868831,DHS
Kenya,2015,0.915,0.241301327,DHS
Kenya,2020,0.91,NA,DHS
Liberia,2009,0.445,0.297083105,DHS
Liberia,2011,0.695,0.38406027,DHS
Liberia,2013,0.429,0.233423899,DHS
Liberia,2016,0.811,0.525824779,DHS
Madagascar,2011,0.192,5.99E-04,DHS
Madagascar,2021,0.547,0.079269518,DHS
Malawi,2006,0.007,0.001365272,MICS
Malawi,2010,0.835,0.357689909,DHS
Malawi,2012,0.909,NA,DHS
Malawi,2014,0.883,NA,DHS
Malawi,2017,0.964,0.002487027,DHS
Mali,2015,0.083,0.064286818,DHS
Mali,2018,0.31,0.05233908,DHS
Mali,2021,0.148,0.044158683,DHS
Mauritania,2007,0.053,0.004515495,MICS
Mozambique,2015,0.926,0.005286687,DHS
Niger,2021,0.77,0.296354679,DHS
Nigeria,2008,0.072,0.021264967,DHS
Nigeria,2010,0.12,0.052890566,DHS
Nigeria,2013,0.183,0.045602813,DHS
Nigeria,2015,0.376,0.138344079,DHS
Nigeria,2018,0.52,0.221308306,DHS
Rwanda,2013,0.917,NA,DHS
Rwanda,2017,0.987,0.193859309,DHS
Senegal,2014,0.106,0.006846038,DHS
Senegal,2016,0.015,0.013861737,DHS
Senegal,2017,0.655,0.030453617,DHS
Senegal,2018,0.24,0.012221158,DHS
Sierra Leone,2008,0.214,0.053814457,DHS
Sierra Leone,2013,0.771,0.366738019,DHS
Somalia,2006,0.107,0.005492459,MICS
Timor-Leste,2016,0.111,0.010726537,DHS
Togo,2006,0.028,NA,MICS
Togo,2017,0.183,NA,DHS
Uganda,2006,0.049,0.02507335,DHS
Uganda,2009,0.391,0.209353263,DHS
Uganda,2016,0.878,0.609111946,DHS
Uganda,2018,0.877,0.547296618,DHS
Zambia,2007,0.288,0.109022372,DHS
Bukina Faso,1993,NA,NA,DHS
Burkina Faso,1998,NA,NA,DHS
Burkina Faso,2003,NA,NA,DHS
Burkina Faso,2017,NA,0.383997992,DHS
Benin,1996,NA,NA,DHS
Benin,2001,NA,NA,DHS
Benin,2011,NA,NA,DHS
Benin,2017,NA,0.061134875,DHS
Burundi,2016,NA,0.051735708,DHS
Congo DRC,2007,NA,0.003709195,DHS
Congo DRC,2013,NA,0.048817236,DHS
Central African Republic,1994,NA,NA,DHS
Congo Brazzaville,2005,NA,0.062800122,DHS
Congo Brazzaville,2011,NA,0.020248282,DHS
Cote D'ivoire,1994,NA,NA,DHS
Cote D'ivoire,1998,NA,NA,DHS
Cote D'ivoire,2011,NA,0.021860536,DHS
Cameroon,1998,NA,NA,DHS
Cameroon,2004,NA,NA,DHS
Ethiopia,2000,NA,NA,DHS
Ethiopia,2005,NA,NA,DHS
Ethiopia,2016,NA,0.008432921,DHS
Gabon,2000,NA,NA,DHS
Gabon,2019,NA,0.008140265,DHS
