year,country,ACT,data type,ACT_use,data type
2010,Burkina Faso,0.08068955,DHS,0.247,MIC1
2014,Burkina Faso,0.124748244,DHS,0.278,MIC1
2006,Benin,0.003476906,DHS,0.007,MIC1
2010,Burundi,0.116653197,DHS,0.695,MIC1
2012,Burundi,0.17453359,DHS,0.689,MIC1
2011,Cameroon,0.059157684,DHS,0.262,MIC1
2018,Cameroon,0.064302831,DHS,0.212,MIC1
2011,Ethiopia,NA,DHS,0.276,MIC1
2012,Gabon,0.078916563,DHS,0.34,MIC1
2014,Ghana,0.371797027,DHS,0.782,MIC1
2019,Ghana,0.370292857,DHS,0.845,MIC1
2013,Gambia,0.025976725,DHS,0.379,MIC1
2012,Guinea,0.008529711,DHS,0.048,MIC1
2018,Guinea,0.04262899,DHS,0.182,MIC1
2014,Kenya,0.230868831,DHS,0.858,MIC1
2015,Kenya,0.241301327,DHS,0.915,MIC1
2020,Kenya,NA,DHS,0.91,MIC1
2012,Comoros,0.039661233,DHS,0.16,MIC1
2009,Liberia,0.297083105,DHS,0.445,MIC1
2011,Liberia,0.38406027,DHS,0.695,MIC1
2013,Liberia,0.233423899,DHS,0.429,MIC1
2016,Liberia,0.525824779,DHS,0.811,MIC1
2011,Madagascar,5.99E-04,DHS,0.192,MIC1
2021,Madagascar,0.079269518,DHS,0.547,MIC1
2015,Mali,0.064286818,DHS,0.083,MIC1
2018,Mali,0.05233908,DHS,0.31,MIC1
2021,Mali,0.044158683,DHS,0.148,MIC1
2010,Malawi,0.357689909,DHS,0.835,MIC1
2012,Malawi,NA,DHS,0.909,MIC1
2014,Malawi,NA,DHS,0.883,MIC1
2017,Malawi,0.002487027,DHS,0.964,MIC1
2015,Mozambique,0.005286687,DHS,0.926,MIC1
2008,Nigeria,0.021264967,DHS,0.072,MIC1
2010,Nigeria,0.052890566,DHS,0.12,MIC1
2013,Nigeria,0.045602813,DHS,0.183,MIC1
2015,Nigeria,0.138344079,DHS,0.376,MIC1
2018,Nigeria,0.221308306,DHS,0.52,MIC1
2021,Niger,0.296354679,DHS,0.77,MIC1
2013,Rwanda,NA,DHS,0.917,MIC1
2017,Rwanda,0.193859309,DHS,0.987,MIC1
2008,Sierra Leone,0.053814457,DHS,0.214,MIC1
2013,Sierra Leone,0.366738019,DHS,0.771,MIC1
2014,Senegal,0.006846038,DHS,0.106,MIC1
2016,Senegal,0.013861737,DHS,0.015,MIC1
2017,Senegal,0.030453617,DHS,0.655,MIC1
2018,Senegal,0.012221158,DHS,0.24,MIC1
2017,Togo,NA,DHS,0.183,MIC1
2006,Uganda,0.02507335,DHS,0.049,MIC1
2009,Uganda,0.209353263,DHS,0.391,MIC1
2016,Uganda,0.609111946,DHS,0.878,MIC1
2018,Uganda,0.547296618,DHS,0.877,MIC1
2007,Zambia,0.109022372,DHS,0.288,MIC1
2015,Afghanistan,7.85E-04,DHS,0.044,MIC1
2016,Timor-Leste,0.010726537,DHS,0.111,MIC1
2006,Togo,NA,MICS,0.028,MIC1
2006,Djibouti,0.002166098,MICS,0.023,MIC1
2006,Ghana,0.027929413,MICS,0.072,MIC1
2006,Malawi,0.001365272,MICS,0.007,MIC1
2007,Mauritania,0.004515495,MICS,0.053,MIC1
2006,Somalia,0.005492459,MICS,0.107,MIC1
2022,Africa,NA,NA,0.562,MIC1
2007,Angola,NA,NA,0.055,MIC1
2011,Angola,NA,NA,0.217,MIC1
2016,Angola,NA,NA,0.767,MIC1
2012,Benin,NA,NA,0.32,MIC1
2014,Benin,NA,NA,0.131,MIC1
2018,Benin,NA,NA,0.37,MIC1
2018,Burkina Faso,NA,NA,0.794,MIC1
2021,Burkina Faso,NA,NA,0.485,MIC1
