year,country,SP
1993,Bukina Faso,NA
1998,Burkina Faso,NA
2003,Burkina Faso,0.001843926
2010,Burkina Faso,0.016374808
2014,Burkina Faso,0.097100745
2017,Burkina Faso,0.00739744
1996,Benin,NA
2001,Benin,0.004359654
2006,Benin,0.003759174
2011,Benin,NA
2017,Benin,0.003115604
2010,Burundi,0.006309894
2012,Burundi,0
2016,Burundi,0.001554435
2007,Congo DRC,0.025125973
2013,Congo DRC,0.014078771
1994,Central African Republic,NA
2005,Congo Brazzaville,0.004502911
2011,Congo Brazzaville,NA
1994,Cote D'ivoire,NA
1998,Cote D'ivoire,NA
2011,Cote D'ivoire,0.006213922
1998,Cameroon,NA
2004,Cameroon,0.004813622
2011,Cameroon,0.002129921
2018,Cameroon,0.023543716
2000,Ethiopia,0.006397113
2005,Ethiopia,0.009320515
2011,Ethiopia,0.004680083
2016,Ethiopia,0.005705193
2000,Gabon,NA
2012,Gabon,0.006392583
2019,Gabon,0.019112033
1993,Ghana ,NA
1998,Ghana,NA
2003,Ghana,0.002772841
2014,Ghana,0.037196157
2019,Ghana,0.000855643
2013,Gambia,0.011229486
2019,Gambia,0.003164467
1999,Guinea,NA
2005,Guinea,0.00586441
2012,Guinea,0.012651058
2018,Guinea,0.020725621
2021,Guinea,0.020047813
1998,Kenya,NA
2003,Kenya,0.097302827
2008,Kenya,0.032064529
2014,Kenya,0.008492686
2015,Kenya,0.003391992
2020,Kenya,0.000443978
2022,Kenya,0.004873373
2012,Comoros,0.089412849
2007,Liberia,0.012139857
2009,Liberia,0.002071579
2011,Liberia,0.000946847
2013,Liberia,0.013304447
2016,Liberia,0.000759686
2019,Liberia,0.02062162
1992,Madagascar,NA
1997,Madagascar,NA
2003,Madagascar,0.009238813
2008,Madagascar,0.004744895
2011,Madagascar,0.003610033
2016,Madagascar,0.001449662
2021,Madagascar,0.00848096
2001,Mali,0.001134259
2006,Mali,0.015503252
2012,Mali,0.043118813
2015,Mali,0.055033334
2018,Mali,0.021831539
2021,Mali,0.031015986
2019,Mauritania,0.006684506
2000,Malawi,0.241830003
2004,Malawi,0.228608141
2010,Malawi,0.017047565
2012,Malawi,0.00394543
2014,Malawi,0.008691296
2015,Malawi,0.010561369
2017,Malawi,0.003302876
1997,Mozambique ,NA
2003,Mozambique,0.000437535
2015,Mozambique,0.019735498
1990,Nigeria,NA
2003,Nigeria,0.003111734
2008,Nigeria,0.050817916
2010,Nigeria,0.093141954
2013,Nigeria,0.085205645
2015,Nigeria,0.039057563
2018,Nigeria,0.029809032
2021,Nigeria,0.011324985
1998,Niger,NA
2006,Niger,0.003918266
2012,Niger,NA
2021,Niger,0.015958728
1992,Rwanda,NA
2000,Rwanda,0.012090359
2005,Rwanda,0.011400515
2007,Rwanda,0.001101042
2010,Rwanda,NA
2013,Rwanda,NA
2014,Rwanda,NA
2017,Rwanda,NA
2019,Rwanda,NA
2008,Sierra Leone,0.011497423
2013,Sierra Leone,0.026091169
2016,Sierra Leone,0.005007099
2019,Sierra Leone,0.103488782
1992,Senegal,NA
1997,Senegal,NA
2005,Senegal,0.007005601
2006,Senegal ,0.002334612
2008,Senegal,0.004272229
2012,Senegal,0.001820455
2014,Senegal,0
2015,Senegal,0
2016,Senegal,0.000605166
2017,Senegal,0.001944054
2018,Senegal,NA
2019,Senegal,NA
2020,Senegal,0.001902464
2008,Sao Tome And Principe,0.007034631
1996,Chad,NA
2004,Chad,0.001615336
2014,Chad,0.006042414
1998,Togo,NA
2013,Togo,0.020780905
2017,Togo,0
1991,Tanzania,NA
1996,Tanzania,NA
1999,Tanzania,NA
2004,Tanzania,0.229231562
2007,Tanzania,0.045504944
2010,Tanzania,0.030217089
2011,Tanzania,0.019389947
2015,Tanzania,0.006124983
2017,Tanzania,0.000671093
1995,Uganda,NA
2000,Uganda,0.003655344
2006,Uganda,0.0362774
2009,Uganda,0.037695303
2011,Uganda,0.017141932
2014,Uganda,0.009532823
2016,Uganda,0.005391207
2018,Uganda,0.010078286
1998,South Africa,NA
2016,South Africa,NA
1992,Zambia,NA
1996,Zambia,NA
2001,Zambia,0.008962511
2007,Zambia,0.23078183
2013,Zambia,0.027316238
2018,Zambia,0.004185366
1994,Zimbabwe,NA
1999,Zimbabwe,0
2005,Zimbabwe,0.006626013
2010,Zimbabwe,0.001541298
2015,Zimbabwe,NA
1991,Cameroon,NA
1993,Kenya,NA
1996,Comoros,NA
1995,Mali,NA
1992,Malawi,NA
1992,Niger,NA
2015,Afghanistan,0.061095689
1998,India,NA
1998,India,NA
1998,India,NA
1993,Bangladesh,NA
1996,Bangladesh,NA
2000,Bangladesh,NA
2004,Bangladesh,NA
2007,Bangladesh,NA
2011,Bangladesh,0.002805991
2014,Bangladesh,0.007117791
2017,Bangladesh,0
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1992,India,NA
1998,India,NA
2005,India ,0.006282777
2015,India,0.044663916
2019,India,0.06093508
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
1998,India,NA
