Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2015,4.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Under 5 years old
Afghanistan,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2015,2.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Total
Afghanistan,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2015,26,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Total
Afghanistan,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2015,4.1,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,15 to 49 years old
Afghanistan,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2015,3.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Under 5 years old
Afghanistan,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2015,5.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Under 5 years old
Afghanistan,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2015,4.4,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Under 5 years old
Afghanistan,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2018,63.2,Units,%,Reported,Free,,,,,,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,,,End of fieldwork,,2015-2018,Under 5 years old
Afghanistan,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2018,60.9,Units,%,Reported,Free,,,,,,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,,,End of fieldwork,,2015-2018,Under 5 years old
Afghanistan,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2015,63.2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015-2018,Under 5 years old
Afghanistan,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2018,62.1,Units,%,Reported,Free,,,,,,Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.,,,End of fieldwork,,2015-2018,Under 5 years old
Afghanistan,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2015,7.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015,,,End of fieldwork,,2015,Under 5 years old
Africa,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2022,26,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Africa,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Total,2022,58.6,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2022,Under 5 years old
Africa,Household with insecticide treated net (ITN) and/or indoor residual spraying (IRS) - percentage of households with at least one ITN for every two persons and/or IRS in the past 12 months,Total,2022,36.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Africa,Percentage of households with at least one insecticide-treated mosquito net (ITN),Total,2022,67,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Total
Africa,Pregnant women sleeping under ITN - percentage of pregnant women (aged 15-49 years) who slept under an insecticide-treated net the previous night,Female,2022,56.8,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,15 to 49 years old
Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Female,2022,54.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Male,2022,53.8,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs",Total,2022,56.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2022,59.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2022,59.3,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2022,59.2,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Female,2022,29.1,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Male,2022,29.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Africa,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing,Total,2022,29.9,Units,%,Reanalysed,Free,,,,,,Population weighted averages calculated by UNICEF using WPP2022 weights,,,End of fieldwork,,2016-2022,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2009,60.7,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2008-2009,,,End of fieldwork,,2009-2018,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Female,2018,58.3,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2009-2018,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2009,80.9,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2008-2009,,,End of fieldwork,,2009-2018,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Male,2018,60.8,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2009-2018,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2009,71.2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2008-2009,,,End of fieldwork,,2009-2018,Under 5 years old
Albania,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider,Total,2018,59.6,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2017-2018,,,End of fieldwork,,2009-2018,Under 5 years old
Angola,IPTp for pregnant women - percentage of women (aged 15-49 years) who received three or more doses of intermittent preventive treatment during antenatal care visits during their last pregnancy,Female,2016,19,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2016,15 to 49 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2007,18,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2011,26.4,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Female,2016,22.2,Units,%,Reported,Free,,,,,,Demographic and Health Survey 2015-2016,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2007,18,Units,%,Reported,Free,,,,,,Other NS 2006-2007,,,End of fieldwork,,2007-2016,Under 5 years old
Angola,ITN use by children - percentage of children (under age 5) who slept under an insecticide-treated mosquito net the night prior to the survey,Male,2011,25.4,Units,%,Reported,Free,,,,,,Malaria Indicator Survey 2011,,,End of fieldwork,,2007-2016,Under 5 years old
