latitude,longitude
3.73203,8.767
17.7131,97.3515
26.0487,92.9099
-0.0428065,34.55
14.5426,44.3995
-29.8032,30.6367
28.6473,76.8131
-8.83833,13.2344
18.5108,-72.6339
4.36667,18.5833
5.55,-0.2
5.3,-1.983
-5.391,-49.129
-1.84916,31.6606
17.917,97.4113
9.3,13.4
15.1239,50.4689
8.96349,38.6381
5.10506,-1.24723
6.38591,-0.375209
19.5072,83.4922
23.8832,91.7316
0.692778,34.1811
-17.8639,31.0297
-4.26098,-55.9866
-2.41012,32.9462
10.0621,-2.52147
0.976823,-79.6492
8.17161,-76.0798
11.9967,-7.90835
0.057996,34.2847
13.2944,-4.89875
24.76,97.5633
-3.22174,40.1229
-3.00249,-47.3531
-2.935,-48.952
-25.4341,31.9545
5.85204,-55.2038
-15.0622,35.2255
13.6251,33.0615
18.7984,-72.385
16.6587,-9.62316
-1.63333,13.5833
33.9,113.5
9.15732,92.7581
7,39
22.5697,88.3697
7.39639,3.91667
-0.815042,12.7391
13.05,44.8833
0.282731,34.7519
-7.61383,15.0506
26.985,94.6394
-1.29207,36.8219
24.4001,95.8536
19.3369,-72.1155
-0.819525,29.7426
14.8022,42.9511
9.06667,7.48333
17.6126,97.2876
7.33333,-2.33333
21.6712,85.611
-16.1171,33.7238
12.35,-1.51667
18.1076,97.466
6.51941,3.38457
12.6333,-3.71667
11.28,49.1844
9.35,2.61667
-14.2228,35.3855
-11.651,43.0929
19.0999,108.667
28.1934,94.1731
-4.26667,15.2833
14.7417,48.1014
9.4333,-0.01667
-0.077254,34.7458
17.9664,97.4948
-12.3537,14.7762
-10.7528,39.6227
17.592,97.5307
12.382,-5.4625
12.65,-8
17.7317,97.4725
18.6134,97.0416
10.9,-1.1
-0.367868,35.2877
4.97572,8.3417
17.9063,97.2477
6.36667,2.08333
10.1241,32.4873
-18.9333,47.5167
17.7101,97.2269
-23.0222,32.7181
23.2756,75.5277
-1.14383,12.4647
-1.11401,29.034
13.8642,-14.4722
24.6811,92.5638
18.3991,-73.383
6.66446,2.15976
-4.33167,15.3139
18.2336,-73.7746
12.9107,74.8561
21.8129,80.1838
11.4347,-4.03778
14.7896,-16.9249
6.45,-1.58333
3.88305,-77.0197
17.8119,97.3333
0.08982,34.5382
0.424444,33.2042
-4.26892,15.2136
25.3548,51.1839
19.0392,-72.7356
-9.96841,-63.01
18.5204,73.8567
20.1667,84
-3.63333,39.85
1.39119,-52.1296
-8.76667,160.7
27.4979,95.3445
0.043023,34.318600000000004
-16.0703,35.1327
-5.17594,38.7918
11.8667,-15.6
22.2,92.2167
9.55771,-0.946474
1.86165,9.77049
13.5214,2.10528
6.4154,1.87725
25.0458,102.71
-6.8,39.2833
7.86817,-77.8367
-1.34337,34.3741
-13.134,38.9981
21.1938,81.3509
18.7539,109.186
23.3435,85.1812
8.81728,117.504
7.6866,-8.6135
7.15,0.46
32.7167,70.3667
17.9632,97.284
16.7191,98.5345
0.422401,30.4146
6.46703,7.53082
-9.0238,-70.812
-16.0311,34.7626
17.7286,97.6106
-14.9105,13.4585
-9.98606,39.6969
8.98238,-79.5199
-5.22951,145.766
8.87197,-12.0376
15.45,36.4
23.7766,91.7435
24.9849,92.8331
25.7667,90.8
0.3901,9.4544
14.0833,-87.2167
-7.7253,38.9356
11.7667,34.35
26.5208,93.9647
6.5486,116.884
19.4919,83.1843
6.31333,-10.8014
7.00595,93.9058
1.80663,44.6874
-2.1346,29.3133
17.6078,8.08167
1.59513,11.5593
9.60222,-13.7916
35.0077,70.5678
-0.79,29.925
-4.97847,145.776
13.2612,43.5005
12.5659,-12.1782
1.2456,28.326
19.0823,81.9413
18.1071,97.4678
-15.4167,28.2833
-9.35348,28.7285
27.2414,94.1056
-25.2684,32.8711
21.7386,98.2381
12.7777,15.7311
20.1463,83.061
15.5018,32.4325
4.08925,9.3146
34.4342,70.4478
-5.57617,12.2018
18.243,-72.5264
22.7833,86.5
1.80667,-78.7647
17.6524,97.6236
7.96472,-11.7383
1.74579,10.1739
8.25374,93.1262
18.1,-15.95
