year,country,CQ
2001,Angola,0.952929318
2000,Bolivia,NA
2000,Burundi,1
2000,Cameroon,0.63327329
2000,CAR,0.766221987
2000,Chad,0.409976307
2000,Comoros,0.72602432
2000,Cotedivoire,0.698179061
2000,DominicanRepublic,NA
2001,DRCongo,0.466540023
2000,EquatorialGuinea,0.394692158
2000,Gambia,0.734206161
2000,GuineaBissau,NA
2000,Guyana,0.111799546
2000,Indonesia,0.067987852
2000,Kenya,0.403274333
2000,Lao,0.256615808
2000,Lesotho,NA
2000,Madagascar,0.993164564
2000,Moldova,NA
2000,Mongolia,NA
2000,Niger,0.663275579
2000,Philippines,NA
2000,Rwanda,0.137127037
2000,Sao Tome,0.891515631
2000,Senegal,0.613333446
2000,SierraLeone,0.624885489
2000,SudanNorth,0.987842586
2000,SudanSouth,NA
2000,Suriname,NA
2000,Swaziland,0.356962213
2000,Tajikistan,0.125
2006,Togo,0
2000,TrinidadTobago,NA
2000,Venezuela,NA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
