year,country,SP
2001,Angola,0.48616815
2000,Bolivia,NA
2000,Burundi,1
2000,Cameroon,0
2000,CAR,0.002339968
2000,Chad,0.010170807
2000,Comoros,0.016334331
2000,Cotedivoire,0.016751026
2000,DominicanRepublic,NA
2001,DRCongo,0.005213226
2000,EquatorialGuinea,0.106149399
2000,Gambia,0.013521184
2000,GuineaBissau,NA
2000,Guyana,0.016411856
2000,Indonesia,0
2000,Kenya,0.233720069
2000,Lao,0
2000,Lesotho,NA
2000,Madagascar,0.725626235
2000,Moldova,NA
2000,Mongolia,NA
2000,Niger,0
2000,Philippines,NA
2000,Rwanda,0.040286014
2000,Sao Tome,0.228198902
2000,Senegal,0.010415965
2000,SierraLeone,0.012039695
2000,SudanNorth,0.568753569
2000,SudanSouth,NA
2000,Suriname,NA
2000,Swaziland,0.063497463
2000,Tajikistan,0.017857143
2006,Togo,0.057219125
2000,TrinidadTobago,NA
2000,Venezuela,NA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
