,year,country,ACT,AQ,CQ,OAM,Painkiller,QN,SP,U,ACT.AQ,ACT.CQ,ACT.OAM,ACT.QN,ACT.SP,AQ.CQ,AQ.OAM,AQ.QN,AQ.SP,CQ.OAM,CQ.QN,CQ.SP,OAM.QN,OAM.SP,QN.SP,ACT.AQ.CQ,ACT.AQ.QN,ACT.AQ.OAM,ACT.AQ.SP,ACT.CQ.OAM,ACT.CQ.QN,ACT.CQ.SP,ACT.OAM.QN,ACT.OAM.SP,AQ.CQ.OAM,AQ.CQ.QN,AQ.CQ.SP,AQ.OAM.QN,AQ.QN.SP,CQ.OAM.QN,CQ.OAM.SP,CQ.QN.SP,OAM.QN.SP,total.fevers,total.AM
1,2006,Burkina Faso,0,0.016892354,0.436923153,0.006040253,0.190198993,NA,0.001060703,0.069396199,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1051,465
2,2005,Burundi,0.026685446,0.03023524,0.014606296,0.004021554,0.124544406,0.199397945,0.011670634,0.165595197,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923,598
3,2006,Cameroon,0.008823415,0.100421206,0.049717204,0.09136061,0.192594607,0.236122515,0.007504222,0.083189929,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1154,659
4,2006,CAR,0.012608177,0.017348623,0.197767112,0.049697177,0.16857549,0.152282598,0.006045175,0.049393245,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,2025,1070
5,2006,Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2006,Djibouti,0.002166098,0.001722659,0.018348726,0.026365407,0.481677995,0,0,0.183712614,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,113,12
7,2005,Gambia,0,0.003715257,0.437435557,0.007196898,0.203301809,0.010313494,0.017142705,0.03708469,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,538,337
8,2006,Ghana,0.027929413,0.115066991,0.390843215,0.024001974,0.277021655,0.005338273,0.003448822,0.071360711,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,487
9,2006,GuineaBissau,0.001654125,0.008293043,0.316381166,0.012942634,0.140781547,0.003479812,0.007111244,0.044279709,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,787,362
10,2006,Guyana,0,0.009272178,0,0.008739119,0.495906904,0.005184767,0.020420193,0.164347054,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,12
