study Id,author,publication year,publication URL
20547800,Beshir K,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2934991&tool=pmcentrez&rendertype=abstract
21699697,Howard N,2011,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3132200&tool=pmcentrez&rendertype=abstract
23497229,Awab GR,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3607912&tool=pmcentrez&rendertype=abstract
706,"Tao Zhang, Xian Xu, Jingjing Jiang, Chen Yu, Cuicui Tian, and Weidong Li",2018,https://www.ncbi.nlm.nih.gov/pubmed/29436339
19708897,Menegon M,2009,http://www.ncbi.nlm.nih.gov/pubmed/19708897
19014684,Figueiredo P,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2613152&tool=pmcentrez&rendertype=abstract
20565881,Gama BE,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2898790&tool=pmcentrez&rendertype=abstract
22850519,Fançony C,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3457352&tool=pmcentrez&rendertype=abstract
26670642,"Kiaco K, Teixeira J, Machado M, do Rosário V, Lopes D",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=26670642
25889865,Foumane Ngane V,2015,http://www.ncbi.nlm.nih.gov/pubmed/25889865
24581308,Aguiar ACC,2014,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3945814&tool=pmcentrez&rendertype=abstract
628,"Ljolje D, Dimbu PR, Kelley J, Goldman I, Nace D, Macaia A, Halsey ES, Ringwald P, Fortes F, Udhayakumar V, Talundzic E, Lucchi NW, Plucinski MM.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29458380
721,"Yang C, Zhou R, Liu Y, Li S, Qian D, Zhao Y, Zhang H, Xu B",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30259821
11356518,Durand R,2001,http://www.ncbi.nlm.nih.gov/pubmed/11356518
15189458,van den Broek IVF,2004,http://www.ncbi.nlm.nih.gov/pubmed/?term=15189458
20097306,Marma ASP,2010,http://www.ncbi.nlm.nih.gov/pubmed/20097306
463,"Srimuang K, Miotto O, Lim P, Fairhurst RM, Kwiatkowski DP, Woodrow CJ, Imwong M",2016,NA
622,Mohammad Shafiul Alam,2017,https://www.ncbi.nlm.nih.gov/pubmed/?term=28806961
24100489,Dahlström S,2013,http://www.ncbi.nlm.nih.gov/pubmed/24100489
24225351,Ogouyèmi-Hounto A,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3834525&tool=pmcentrez&rendertype=abstract
718,"Tawe L, Menegon M, Ramatlho P, Muthoga C, Mutukwa N, Vurayai M, Bothudile W, Motshoge T, L'Episcopia M, Mosweunyane T, Kasvosve I, Severini C, Paganotti G",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30350774
21143867,Gama BE,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3017535&tool=pmcentrez&rendertype=abstract
