country,CQ_use,year,imp
Ghana,NA,2000,60.15081920093132
Ghana,NA,2001,60.6786047
Ghana,NA,2002,60.72692712434455
Ghana,60.1508192,2003,60.1508192
Ghana,NA,2004,53.59734145292741
Ghana,NA,2005,46.49999818460965
Ghana,39.0843215,2006,39.0843215
Ghana,NA,2007,34.58300534355325
Ghana,NA,2008,30.000488039685205
Ghana,NA,2009,25.348369752313186
Ghana,NA,2010,20.63825064535452
Ghana,NA,2011,15.881730882726542
Ghana,NA,2012,11.090410628346575
Ghana,NA,2013,6.275890046131952
Ghana,1.4497693,2014,1.4497693
Ghana,NA,2015,-3.21329225
Ghana,NA,2016,-7.876353801
Ghana,NA,2017,-12.53941535
Ghana,NA,2018,-17.2024769
