country,CQ_use,year,imp
Indonesia,6.7987852,2000,6.7987852
Indonesia,NA,2001,4.429912925219616
Indonesia,0.527875,2002,0.527875
Indonesia,NA,2003,2.850664742032693
Indonesia,NA,2004,2.0610406504392316
Indonesia,NA,2005,1.2714165588457704
Indonesia,NA,2006,0.48179246725230884
Indonesia,0.7245148,2007,0.7245148
Indonesia,NA,2008,-1.097455716
Indonesia,NA,2009,-1.887079808
Indonesia,NA,2010,-2.676703899
Indonesia,NA,2011,-3.466327991
Indonesia,NA,2012,-4.255952082
Indonesia,NA,2013,-5.045576174
Indonesia,NA,2014,-5.835200265
Indonesia,NA,2015,-6.624824357
Indonesia,NA,2016,-7.414448449
Indonesia,NA,2017,-8.20407254
Indonesia,NA,2018,-8.993696632
