country,CQ_use,year,imp
Kenya,40.3274333,2000,40.3274333
Kenya,NA,2001,27.961752966666673
Kenya,NA,2002,15.596072633333339
Kenya,3.2303923,2003,3.2303923
Kenya,NA,2004,2.814852479999998
Kenya,NA,2005,2.3993126599999997
Kenya,NA,2006,1.9837728400000003
Kenya,NA,2007,1.568233020000001
Kenya,1.1526932,2008,1.1526932
Kenya,NA,2009,1.0241865666666685
Kenya,NA,2010,0.8956799333333354
Kenya,NA,2011,0.7671733000000032
Kenya,NA,2012,0.6386666666666692
Kenya,NA,2013,0.51016003333333515
Kenya,0.3816534,2014,0.3816534
Kenya,0.2009671,2015,0.2009671
Kenya,NA,2016,-1.910948779
Kenya,NA,2017,-4.022864659
Kenya,NA,2018,-6.134780538
