country,CQ_use,year,imp
Nigeria,NA,2000,33.10812487074939
Nigeria,NA,2001,32.539468727355974
Nigeria,NA,2002,31.87676284107062
Nigeria,34.1073033,2003,34.1073033
Nigeria,NA,2004,30.169270583741913
Nigeria,NA,2005,29.103311281896286
Nigeria,NA,2006,27.900956375581153
Nigeria,30.2476966,2007,30.2476966
Nigeria,18.5407374,2008,18.5407374
Nigeria,NA,2009,23.548808000107716
Nigeria,27.2340746,2010,27.2340746
Nigeria,NA,2011,20.077631798844862
Nigeria,NA,2012,18.16367146545041
Nigeria,NA,2013,16.16738548616533
Nigeria,NA,2014,14.116215742953166
Nigeria,9.1666469,2015,9.1666469
Nigeria,NA,2016,9.958992492601753
Nigeria,NA,2017,7.880380867426046
Nigeria,NA,2018,5.801769242250339
