country,CQ_use,year,imp
Senegal,61.3333446,2000,61.3333446
Senegal,NA,2001,56.986332404780605
Senegal,NA,2002,49.332271545736724
Senegal,NA,2003,39.41112555430254
Senegal,NA,2004,28.262857961912225
Senegal,16.9274323,2005,16.9274323
Senegal,6.4448121,2006,6.4448121
Senegal,NA,2007,2.3164944599999977
Senegal,1.3653281,2008,1.3653281
Senegal,NA,2009,0.4141617399999973
Senegal,NA,2010,-0.53700462
Senegal,NA,2011,-1.48817098
Senegal,NA,2012,-2.43933734
Senegal,NA,2013,-3.3905037
Senegal,NA,2014,-4.34167006
Senegal,NA,2015,-5.29283642
Senegal,NA,2016,-6.24400278
Senegal,NA,2017,-7.19516914
Senegal,NA,2018,-8.1463355
