country,CQ_use,year,imp
Tanzania,NA,2000,1.7386842
Tanzania,NA,2001,1.7386842
Tanzania,NA,2002,1.7386842
Tanzania,NA,2003,1.7386842
Tanzania,1.7386842,2004,1.7386842
Tanzania,NA,2005,1.3164697333333333
Tanzania,NA,2006,0.8942552666666665
Tanzania,0.4720408,2007,0.4720408
Tanzania,NA,2008,0.34408943333333336
Tanzania,NA,2009,0.21613806666666674
Tanzania,0.0881867,2010,0.0881867
Tanzania,0.2791802,2011,0.2791802
Tanzania,NA,2012,0.20938515
Tanzania,NA,2013,0.1395901
Tanzania,NA,2014,0.06979505
Tanzania,0,2015,0
Tanzania,NA,2016,-0.091509623
Tanzania,NA,2017,-0.183019247
Tanzania,NA,2018,-0.27452887
