country,CQ_use,year,imp
Uganda,NA,2000,23.3948935
Uganda,NA,2001,24.01282895025104
Uganda,NA,2002,24.87793858061807
Uganda,NA,2003,25.619461120938784
Uganda,NA,2004,25.866635301050877
Uganda,NA,2005,25.248699850792043
Uganda,23.3948935,2006,23.3948935
Uganda,NA,2007,19.934454978512406
Uganda,NA,2008,15.513619505466627
Uganda,10.7786223,2009,10.7786223
Uganda,NA,2010,6.375698581249875
Uganda,3.0743677,2011,3.0743677
Uganda,NA,2012,1.644149007034129
Uganda,NA,2013,1.3054675308636616
Uganda,1.2787483,2014,1.2787483
Uganda,NA,2015,0.7844163429545414
Uganda,0.3403941,2016,0.3403941
Uganda,NA,2017,0.4646040114090916
Uganda,0.87293,2018,0.87293
