latitude,longitude
34.4342,70.4478
34.1718,70.6217
-8.83833,13.2344
-8.49,13.73
-7.61383,15.0506
22.2,92.2167
21.7444,92.3814
23.2409,92.0665
22.6581,92.1688
6.49686,2.62885
6.66446,2.15976
6.35306,2.44417
9.35,2.61667
-3.68885,-62.6221
-2.04091,-55.1242
-4.26098,-55.9866
-3.11903,-60.0217
-3.00249,-47.3531
-8.76116,-63.9004
-5.391,-49.129
-4.23146,-69.9369
-2.935,-48.952
-3.76608,-49.6778
12.35,-1.51667
11.1781,-4.29177
12.6333,-3.71667
12.7333,-3.86667
11.4347,-4.03778
12.5822,-1.3
-3.38333,29.3667
13.0957,103.204
10.9503,104.426
11.1489,103.961
11.6155,104.379
11.8269,106.183
12.9093,102.668
14.0086,104.845
12.5333,103.917
13.7318,106.984
13.064,102.527
12.3252,103.482
3.86667,11.5167
9.3,13.4
3.96667,11.9333
4.08925,9.3146
4.36667,18.5833
12.1348,15.0557
20.0174,110.349
24.7052,97.932
25.0458,102.71
4.59806,-74.0758
3.99761,-73.278
7.59417,-74.8119
1.80667,-78.7647
8.09511,-76.7324
-11.7172,43.2473
-4.26667,15.2833
-4.76916,11.8664
5.31667,-4.03333
5.27118,-3.59392
5.28725,-3.51786
-4.33167,15.3139
0.330192,6.73334
-8.55,125.567
-8.36423,126.904
3.73203,8.767
3.61983,8.74812
1.74579,10.1739
2.04405,9.78368
6.40833,38.3083
7.67848,36.8384
9.31256,42.1227
7.29283,38.3629
4.9227,-52.3269
0.3901,9.4544
-1.63333,13.5833
-0.701546,10.2404
5.55,-0.2
6.80194,-1.08489
6.74704,-1.52086
6.45,-1.58333
7.95592,-1.67607
5.10506,-1.24723
5.56078,-1.05861
7.15,0.46
6.68712,-1.62197
10.9,-1.1
10.8847,-1.09028
5.48564,-0.417994
7.33333,-2.33333
7.333,-2.333
9.4075,-0.853333
9.39301,-0.823481
5.3,-1.983
6.57814,0.450237
5.3902,-2.14502
5.33871,-0.62284
9.4333,-0.01667
9.64119,-13.5784
11.8667,-15.6
11.8817,-15.6178
11.8511,-15.5958
11.9608,-15.5386
6.80855,-58.1613
6.8,-58.1667
18.5333,-72.3333
19.3629,-72.4258
19.7328,-72.195
18.2333,-72.5333
18.3991,-73.383
14.0833,-87.2167
15.2574,-83.7806
16.769,81.9344
26.2006,92.9376
25.7667,90.8
22.8457,81.0755
23.25,91.45
22.2507,84.9959
22.7833,86.5
9.15732,92.7581
20.1,80.8
28.6692,77.4538
15.2993,74.124
22.95,73.55
24.6811,92.5638
22.5677,84.8112
26.6991,89.0179
20.1667,84
22.2737,84.7583
22.9734,78.6569
19.7515,75.7139
20.1,80
24.2667,80.7667
28.6353,77.225
27.2414,94.1056
20.9517,85.0985
21.5833,83.5333
15.493,73.818
23.3321,86.3652
24.5833,73.6833
24.0781,73.6919
9.36667,78.8667
23.2756,75.5277
28.5667,77.55
88.2667,27.2
-2.27754,139.6
-8.4984,116.077
-6.15941,106.811
-7.83994,110.105
-8.36215,114.654
1.12553,97.5247
-7.74037,110.033
5.825,95.3078
-9.69934,119.974
35.6961,51.4231
25.2919,60.6431
26.6308,61.2564
29.5142,60.8564
-1.29207,36.8219
-0.183333,34.3833
-0.09978,34.2744
-0.0833333,35.1333
0.164699,34.7562
0.465231,35.2575
0.282731,34.7519
-3.63333,39.85
-0.0748716,34.6663
-0.678306,34.772
-0.091702,34.768
-0.0917016,34.768
-0.0428065,34.55
-0.436792,34.206
-0.0602319,34.9768
-0.0617328,34.2422
-4.23333,39.5833
14.9363,107.101
18.4363,104.472
20.95,101.4
15.6312,105.808
20.2873,100.71
16.5065,105.594
18.9235,102.448
6.31333,-10.8014
4.37597,-7.70094
-18.9333,47.5167
-14.65,49.65
-22.4036,46.1258
-21.8167,47.3333
-16.1333,46.9667
-18.7698,46.05
-15.7861,35.0058
-15.8877,34.9663
1.67276,109.854
3.97434,102.438
12.65,-8
10.7833,-6.91667
12.7872,-6.94731
11.8833,-8.45
18.4389,1.40833
14.35,-3.61111
18.1,-15.95
16.6912,-9.5451
-25.9667,32.5833
-23.0222,32.7181
-23.717,35.4042
-24.6983,32.4969
22.3897,93.5813
25.8509,97.4381
16.9459,97.9593
24.76,97.5633
24.7892,97.5558
26.6971,87.7634
13.5214,2.10528
9.06667,7.48333
9.13741,3.84897
6.3176,5.6145
7.39639,3.91667
8.49167,8.51667
7.76581,4.56122
33.7819,71.5744
28.4907,65.0958
32.7167,70.3667
24.8615,67.0099
33.7294,73.0931
25.8943,68.5247
-9.4438,147.18
-3.577,142.77
-4.31501,143.046
-4.45952,144.823
-5.2334,145.778
-4.97847,145.776
-4.45952,143.218
-3.57953,143.647
-3.90583,-70.5164
-3,-73
-3.56667,-72.8333
-3.69828,-73.2787
14.5995,120.984
7.56177,125.653
17.474,121.354
9.83906,118.736
-4.26892,15.2136
-2.56041,29.7181
-2.60273,29.7373
24.6333,46.7167
14.7645,-17.366
13.7167,-16.4167
14.7828,-17.376
14.4167,-16.9667
14.75,-17.4
13.7689,-13.6672
14.4167,-16.7
14.7667,-16.9
8.48444,-13.2344
-9.44564,159.973
-8,159
-33.9249,18.4241
-28.6914,31.9027
4.84099,31.579
9.542,30.4094
16.0858,30.0874
14.1122,34.0836
14.0333,35.3833
14.0402,35.388
15.6213,32.639
15.45,36.4
11.184,30.178
11.7455,30.1815
14.3995,33.5203
5.85204,-55.2038
2.0331,-56.1338
-26.3054,31.1367
