country,year,ACT,data type,Region,lat,long,displayName,layerName,layerTitle,value,continent,val,tested,prev,title,pubMedId,sid,mutation,site,estLoc,present,authors,PR,Prev_DR,ACT_use
Viet Nam,2011,0.001,MIC1,SEA,11.76,106.91,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.002301235,Asia,associated with slow clearance,85,7.06% [3.28 - 14.56],N. Engl. J. Med. 2014 Jul 31;371(5):411-23,25075834,UFYTP,C580Y,Bin Phuoc,0,6,Spread of artemisinin resistance in Plasmodium falciparum malaria.,0.230123522,7.058823529,0.1
Viet Nam,2011,0.001,MIC1,SEA,11.75,106.72,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",3.55e-4,Asia,associated with slow clearance,136,7.35% [4.04 - 13.01],K13 Propeller Mutations in Plasmodium falciparum Populations in Regions of Malaria Endemicity in Vietnam from 2009 to 2016.,28137815,159,C580Y,Binh Phuoc,0,10,"Thuy-Nhien N, Tuyen NK, Tong NT, Vy NT, Thanh NV, Van HT, Huong-Thu P, Quang HH, Boni MF, Dolecek C, Farrar J, Thwaites GE, Miotto O, White NJ, Hien TT",0.035462104,7.352941176,0.1
Viet Nam,2011,0.001,MIC1,SEA,11.75,106.72,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",3.55e-4,Asia,associated with slow clearance,136,7.35% [4.04 - 13.01],K13 Propeller Mutations in Plasmodium falciparum Populations in Regions of Malaria Endemicity in Vietnam from 2009 to 2016.,28137815,159,C580Y,Binh Phuoc,0,10,"Thuy-Nhien N, Tuyen NK, Tong NT, Vy NT, Thanh NV, Van HT, Huong-Thu P, Quang HH, Boni MF, Dolecek C, Farrar J, Thwaites GE, Miotto O, White NJ, Hien TT",0.035462104,7.352941176,0.1
Viet Nam,2011,0.001,MIC1,SEA,11.76,106.91,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.002301235,Asia,associated with slow clearance,85,7.06% [3.28 - 14.56],N. Engl. J. Med. 2014 Jul 31;371(5):411-23,25075834,UFYTP,C580Y,Bin Phuoc,0,6,Spread of artemisinin resistance in Plasmodium falciparum malaria.,0.230123522,7.058823529,0.1
Viet Nam,2011,0.001,MIC1,SEA,11.82,106.97,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007214069,Asia,associated with slow clearance,112,4.46% [1.92 - 10.03],NA,25180241,XDSXA,C580Y,Phuoc Long,0,5,Independent emergence of artemisinin resistance mutations among Plasmodium falciparum in Southeast Asia.,0.72140689,4.464285714,0.1
Viet Nam,2011,0.001,MIC1,SEA,11.82,106.97,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007214069,Asia,associated with slow clearance,112,4.46% [1.92 - 10.03],NA,25180241,XDSXA,C580Y,Phuoc Long,0,5,Independent emergence of artemisinin resistance mutations among Plasmodium falciparum in Southeast Asia.,0.72140689,4.464285714,0.1
Cambodia,2005,1.41e-4,DHS,SEA,10.95,104.43,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",7.05e-4,Asia,associated with slow clearance,41,21.95% [12.0 - 36.71],Little Polymorphism at the K13 Propeller Locus in Worldwide Plasmodium falciparum Populations Prior to the Introduction of Artemisinin Combination Therapies.,27001814,222,C580Y,Chumkiri,0,9,"Mita T, Culleton R, Takahashi N, Nakamura M, Tsukahara T, Hunja CW, Win ZZ, Htike WW, Marma AS, Dysoley L, Ndounga M, Dzodzomenyo M, Akhwale WS, Kobayashi J, Uemura H, Kaneko A, Hombhanje F, Ferreira MU, Björkman A, Endo H, Ohashi J",0.070503441,21.95121951,0.0141
Cambodia,2005,1.41e-4,DHS,SEA,10.95,104.43,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",7.05e-4,Asia,associated with slow clearance,41,21.95% [12.0 - 36.71],Little Polymorphism at the K13 Propeller Locus in Worldwide Plasmodium falciparum Populations Prior to the Introduction of Artemisinin Combination Therapies.,27001814,222,C580Y,Chumkiri,0,9,"Mita T, Culleton R, Takahashi N, Nakamura M, Tsukahara T, Hunja CW, Win ZZ, Htike WW, Marma AS, Dysoley L, Ndounga M, Dzodzomenyo M, Akhwale WS, Kobayashi J, Uemura H, Kaneko A, Hombhanje F, Ferreira MU, Björkman A, Endo H, Ohashi J",0.070503441,21.95121951,0.0141
Cambodia,2010,NA,DHS,SEA,12.54,103.92,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.009655999,Asia,associated with slow clearance,43,41.86% [28.38 - 56.67],NA,24352242,JFMKA,C580Y,Pursat,0,18,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.965599902,41.86046512,NA
Cambodia,2010,NA,DHS,SEA,12.54,103.92,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.009655999,Asia,associated with slow clearance,43,41.86% [28.38 - 56.67],NA,24352242,JFMKA,C580Y,Pursat,0,18,A molecular marker of artemisinin-resistant Plasmodium falciparum malaria.,0.965599902,41.86046512,NA
