country,year,CQ,data type,Region,lat,long,displayName,layerName,layerTitle,value,study Id,site number,site,study start,study end,marker type,tested,present,Mixed present,author,publication year,publication URL,title,notes,pubmed Id,drug,marker group,percentage,included or excluded,PR,Prev_DR,CQ_use
Burkina Faso,2003,0.474137439,DHS,West Africa,11.18,-4.29,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.6861259937286377,16837725,0,Bobo-Dioulasso,2003,2003,pfmdr1 86Y,110,48,48,Dokomajilar C,2006,http://www.16837725.nlm.nih.gov/pubmed/16837725,Clinical AQ data and post-treatment genotypes,16837725,Roles of specific Plasmodium falciparum mutations in resistance to amodiaquine and sulfadoxine-pyrimethamine in Burkina Faso.,Amodiaquine,pfmdr1 86Y,44,I,68.61259937286377,43.63636363636363,47.4137439
Burkina Faso,2010,0.041418251,DHS,West Africa,11.18,-4.29,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.2934296429157257,532,1,Bobo-Dioulasso,2009,2010,pfmdr1 86Y,79,24,24,"Zongo I, Milligan P, Compaore YD, Some AF, Greenwood B, Tarning J, Rosenthal PJ, Sutherland C, Nosten F, Ouedraogo JB",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=25918149,SMC (control group displayed in Surveyor). dhps 108 not added due to wt/mut unclarity,25918149,Randomized Noninferiority Trial of Dihydroartemisinin-Piperaquine Compared with Sulfadoxine-Pyrimethamine plus Amodiaquine for Seasonal Malaria Chemoprevention in Burkina Faso.,Amodiaquine,pfmdr1 86Y,30,NA,29.34296429157257,30.37974683544304,4.1418251
Ethiopia,2011,0.007897931,DHS,East Africa,9.31,42.12,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.044870637357234955,24964730,0,"Omo Nada, Bala Wajo, Arba Minch, Harar",2009,2011,pfmdr1 86Y,195,29,29,Kebede S,2014,http://www.ncbi.nlm.nih.gov/pubmed/24964730,pfcrt haplotypes also available in the public,24964730,Return of chloroquine-sensitive Plasmodium falciparum parasites and emergence of chloroquine-resistant Plasmodium vivax in Ethiopia.,Amodiaquine,pfmdr1 86Y,15,NA,4.4870637357234955,14.871794871794872,0.7897931
Ethiopia,2016,0.001516905,DHS,East Africa,8.96,38.64,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,706,8,Addis Ababa,2012,2016,pfmdr1 86Y,4,2,2,"Tao Zhang, Xian Xu, Jingjing Jiang, Chen Yu, Cuicui Tian, and Weidong Li",2018,https://www.ncbi.nlm.nih.gov/pubmed/29436339,Estimated traveler location,29436339,"Surveillance of Antimalarial Resistance Molecular Markers in Imported Plasmodium falciparum Malaria Cases in Anhui, China, 2012-2016.",Amodiaquine,pfmdr1 86Y,50,NA,0,50,0.1516905
Ethiopia,2016,0.001516905,DHS,East Africa,8.96,38.64,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0,721,8,Adis Ababa,2012,2016,pfmdr1 86Y,5,0,0,"Yang C, Zhou R, Liu Y, Li S, Qian D, Zhao Y, Zhang H, Xu B",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30259821,NA,30259821,Molecular investigation of the Pfmdr1 gene of Plasmodium falciparum isolates in Henan Province imported from Africa.,Amodiaquine,pfmdr1 86Y,0,NA,0,0,0.1516905
Ghana,1998,NA,DHS,West Africa,6.8,-1.08,NA,NA,NA,NA,11679121,0,Agogo,1998,1998,pfmdr1 86Y,171,61,113,Mockenhaupt FP,2001,http://www.ncbi.nlm.nih.gov/pubmed/11679121,Pregnant women only,11679121,Plasmodium falciparum pfcrt and pfmdr1 polymorphisms are associated with the pfdhfr N108 pyrimethamine-resistance mutation in isolates from Ghana.,Amodiaquine,pfmdr1 86Y,66,NA,NA,35.67251461988304,NA
Ghana,2014,0.014497693,DHS,West Africa,6.39,-0.38,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.28794798254966736,780,1,Begoro,2014,2014,pfmdr1 86Y,78,14,14,"Mensah BA, Aydemir O, Myers-Hansen JL, Opoku M, Hathaway NJ, Marsh PW, Anto F, Bailey J, Abuaku B, Ghansah A.",2020,https://pubmed.ncbi.nlm.nih.gov/31932374/,NA,31932374,Antimalarial Drug Resistance Profiling of Plasmodium falciparum Infections in Ghana Using Molecular Inversion Probes and Next-Generation Sequencing.,Amodiaquine,pfmdr1 86Y,18,I,28.794798254966736,17.94871794871795,1.4497693
Ghana,2014,0.014497693,DHS,West Africa,5.11,-1.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.2705202102661133,780,5,Cape Coast,2014,2014,pfmdr1 86Y,82,15,15,"Mensah BA, Aydemir O, Myers-Hansen JL, Opoku M, Hathaway NJ, Marsh PW, Anto F, Bailey J, Abuaku B, Ghansah A.",2020,https://pubmed.ncbi.nlm.nih.gov/31932374/,NA,31932374,Antimalarial Drug Resistance Profiling of Plasmodium falciparum Infections in Ghana Using Molecular Inversion Probes and Next-Generation Sequencing.,Amodiaquine,pfmdr1 86Y,18,NA,27.052021026611328,18.29268292682927,1.4497693
Guinea,1999,NA,DHS,West Africa,9.64,-13.58,NA,NA,NA,NA,11356518,13,NA,1995,1999,pfmdr1 86Y,1,1,1,Durand R,2001,http://www.ncbi.nlm.nih.gov/pubmed/11356518,Travellers. In vitro data available.,11356518,Analysis of pfcrt point mutations and chloroquine susceptibility in isolates of Plasmodium falciparum.,Amodiaquine,pfmdr1 86Y,100,NA,NA,100,NA
Kenya,1998,NA,DHS,East Africa,-3.63,39.85,NA,NA,NA,NA,19450282,5,Kilifi,1998,1998,pfmdr1 86Y,22,19,19,Mwai L,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2694831&tool=pmcentrez&rendertype=abstract,Mixed infections excluded.,19450282,Chloroquine resistance before and after its withdrawal in Kenya.,Amodiaquine,pfmdr1 86Y,100,E,NA,86.36363636363636,NA
