study id,substudy number,country,site,lat,lon,study start year,study end year,mutation,tested,present,Mixed present,authors,publication year,publication Url,title,notes,pubMedId,marker group,percentage,Mixed percentage,included or excluded
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhfr 108N,163,163,163,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhfr 108N,100,100,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhps 540E,163,9,9,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhps 540E,37,37,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhfr+dhps 51I-59R-108N-437G-540E-581G,163,0,0,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhfr+dhps 51I-59R-108N-437G-540E-581G,2,2,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhfr 51I,163,159,159,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhfr 51I,100,100,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhps 437G,163,136,136,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhps 437G,94,94,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhps 437G,163,6,6,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhps 437G,94,94,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhfr 59R,163,159,159,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhfr 59R,99,99,
806,5,Equatorial Guinea,,3.73203,8.767,2011,2011,dhps 581G,163,3,3,"Berzosa P, Molina de la Fuente I, Ta-Tang TH, González V, García L, Rodríguez-Galet A, Díaz-Regañón R, Galán R, Cerrada-Gálvez L, Ncogo P, Riloha M, Benito A.",2021,https://pubmed.ncbi.nlm.nih.gov/34906159/,Temporal evolution of the resistance genotypes of Plasmodium falciparum in isolates from Equatorial Guinea during 20 years (1999 to 2019).,,34906159,dhps 581G,5,5,
608,6,Myanmar,"METF-09, Kayin",17.7131,97.3515,2017,2017,dhfr 51I-59R-108N,1,1,1,"Prof. Francois Nosten, Prof Olivo Miotto",2016,,METF-SMRU/GenRe,,,dhfr 51I-59R-108N,100,100,
608,6,Myanmar,"METF-09, Kayin",17.7131,97.3515,2017,2017,dhps 437G-540E-581G,1,1,1,"Prof. Francois Nosten, Prof Olivo Miotto",2016,,METF-SMRU/GenRe,,,dhps 437G-540E-581G,100,100,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhps 437G-540E,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhps 437G-540E,0,0,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhfr 51I,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhfr 51I,0,0,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhfr 108N,22,19,19,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhfr 108N,86,86,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhps 540E,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhps 540E,0,0,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhfr+dhps 51I-59R-108N-437G-540E,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhfr+dhps 51I-59R-108N-437G-540E,0,0,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhps 581G,22,5,5,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhps 581G,23,23,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhfr N51-59R-108N,22,19,19,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhfr N51-59R-108N,86,86,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhps 437G,22,9,9,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhps 437G,41,41,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhps 437G-540E-581G,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhps 437G-540E-581G,0,0,
822,1,India,Karbi Anglong,26.0487,92.9099,2012,2014,dhfr+dhps 51I-59R-108N-437G-540E-581G,22,0,0,"Jitendra Sharma , Prafulla Dutta, Siraj Ahmed Khan",2016,,Antifolate resistance associated point mutations among asymptomatic malaria cases.,Asymptomatic,27004583,dhfr+dhps 51I-59R-108N-437G-540E-581G,0,0,
