country,year,SP,data type,Region,lat,long,displayName,layerName,layerTitle,value,study id,substudy number,site,study start year,study end year,mutation,tested,present,Mixed present,authors,publication year,publication Url,title,notes,pubMedId,marker group,percentage,Mixed percentage,included or excluded,PR,Prev_DR,SP_use
Cameroon,2011,0.002129921,DHS,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.13161920011043549,536,1,Yaoundé,2010,2011,dhps 437G,51,39,39,"Chauvin P, Menard S, Iriart X, Nsango SE, Tchioffo MT, Abate L, Awono-Ambéné PH, Morlais I, Berry A",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=26080363,"Prevalence of Plasmodium falciparum parasites resistant to sulfadoxine/pyrimethamine in pregnant women in Yaoundé, Cameroon: emergence of highly resistant pfdhfr/pfdhps alleles.",Prevalence from samples from pregnant women before IPTp displayed,26080363,dhps 437G,76,76,NA,13.161920011043549,76.47058823529412,0.2129921
Cameroon,2018,0.023543716,DHS,Central Africa,3.87,11.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.15307621657848358,781,5,NA,2016,2018,dhps 437G,24,15,15,"Zhao L, Pi L, Qin Y, Lu Y, Zeng W, Xiang Z, Qin P, Chen X, Li C, Zhang Y, Wang S, Si Y, Yang G, Rosenthal BM, Huang Y, Yang Z.",2020,https://pubmed.ncbi.nlm.nih.gov/31809965/,Widespread resistance mutations to sulfadoxine-pyrimethamine in malaria parasites imported to China from Central and Western Africa.,Migrant workers returned to China from African countries,31809965,dhps 437G,63,63,NA,15.307621657848358,62.5,2.3543716
Ghana,2006,0.003448822,MICS,West Africa,10.06,-2.52,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.40650999546051025,741,19,Wa,2005,2006,dhps 437G,39,26,26,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,67,67,NA,40.650999546051025,66.66666666666666,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,10.9,-1.1,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.402738481760025,741,13,Navrongo,2005,2006,dhps 437G,40,20,20,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,74,74,I,40.2738481760025,50,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,6.45,-1.58,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.2547551095485687,741,4,Bekwai,2005,2006,dhps 437G,20,15,15,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,88,88,I,25.475510954856873,75,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,5.11,-1.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.15545792877674103,741,7,Cape Coast,2005,2006,dhps 437G,40,29,29,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,100,100,I,15.545792877674105,72.5,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,6.39,-0.38,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.22026103734970093,741,1,Begoro,2005,2006,dhps 437G,40,35,35,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,100,100,I,22.026103734970093,87.5,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,7.33,-2.33,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.3553588390350342,741,16,Sunyani,2005,2006,dhps 437G,35,26,26,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,74,74,I,35.53588390350342,74.28571428571429,0.34488219999999997
Ghana,2006,0.003448822,MICS,West Africa,9.43,-0.02,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.5646920204162598,741,22,Yendi,2005,2006,dhps 437G,20,16,16,"Duah NO, Quashie NB, Abuaku BK, Sebeny PJ, Kronmann KC, Koram KA.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=23045251,Surveillance of molecular markers of Plasmodium falciparum resistance to sulphadoxine-pyrimethamine 5 years after the change of malaria treatment policy in Ghana.,NA,23045251,dhps 437G,80,80,I,56.46920204162598,80,0.34488219999999997
Ghana,2014,0.037196157,DHS,West Africa,5.11,-1.25,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.2705202102661133,780,5,Cape Coast,2014,2014,dhps 437G,86,83,83,"Mensah BA, Aydemir O, Myers-Hansen JL, Opoku M, Hathaway NJ, Marsh PW, Anto F, Bailey J, Abuaku B, Ghansah A.",2020,https://pubmed.ncbi.nlm.nih.gov/31932374/,Antimalarial Drug Resistance Profiling of Plasmodium falciparum Infections in Ghana Using Molecular Inversion Probes and Next-Generation Sequencing.,NA,31932374,dhps 437G,100,100,NA,27.052021026611328,96.51162790697676,3.7196157
