Id,author,year,URL
20547800,Beshir K,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2934991&tool=pmcentrez&rendertype=abstract
23497229,Awab GR,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3607912&tool=pmcentrez&rendertype=abstract
706,"Tao Zhang, Xian Xu, Jingjing Jiang, Chen Yu, Cuicui Tian, and Weidong Li",2018,https://www.ncbi.nlm.nih.gov/pubmed/29436339
19708897,Menegon M,2009,http://www.ncbi.nlm.nih.gov/pubmed/19708897
19014684,Figueiredo P,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2613152&tool=pmcentrez&rendertype=abstract
20565881,Gama BE,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2898790&tool=pmcentrez&rendertype=abstract
22850519,Fançony C,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3457352&tool=pmcentrez&rendertype=abstract
24581308,Aguiar ACC,2014,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3945814&tool=pmcentrez&rendertype=abstract
625,Feng Lu,2017,https://www.ncbi.nlm.nih.gov/pubmed/28747223
423,"Zhou RM, Zhang HW, Yang CY, Liu Y, Zhao YL, Li SH, Qian D, Xu BL",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27160572
11356518,Durand R,2001,http://www.ncbi.nlm.nih.gov/pubmed/11356518
15189458,van den Broek IVF,2004,http://www.ncbi.nlm.nih.gov/pubmed/?term=15189458
21645634,Kawai A,2011,http://www.ncbi.nlm.nih.gov/pubmed/21645634
22453078,Takahashi N,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3369212&tool=pmcentrez&rendertype=abstract
20097306,Marma ASP,2010,http://www.ncbi.nlm.nih.gov/pubmed/20097306
622,Mohammad Shafiul Alam,2017,https://www.ncbi.nlm.nih.gov/pubmed/?term=28806961
17033142,Menegon M,2006,http://www.iss.it/publ/anna/2006/2/422203.pdf
16154388,Severini C,2006,http://www.ncbi.nlm.nih.gov/pubmed/16154388
16569231,Cojean S,2006,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1448192&tool=pmcentrez&rendertype=abstract
20439955,Andriantsoanirina V,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2861372&tool=pmcentrez&rendertype=abstract
24100489,Dahlström S,2013,http://www.ncbi.nlm.nih.gov/pubmed/24100489
23634705,Ogouyèmi-Hounto A,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3651273&tool=pmcentrez&rendertype=abstract
24225351,Ogouyèmi-Hounto A,2013,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3834525&tool=pmcentrez&rendertype=abstract
718,"Tawe L, Menegon M, Ramatlho P, Muthoga C, Mutukwa N, Vurayai M, Bothudile W, Motshoge T, L'Episcopia M, Mosweunyane T, Kasvosve I, Severini C, Paganotti G",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=30350774
15216481,Vieira PP,2004,http://www.ncbi.nlm.nih.gov/pubmed/15216481
17096048,Viana GMR,2006,http://www.ncbi.nlm.nih.gov/pubmed/?term=17096048
22302850,Gbotosho GO,2012,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3269269&tool=pmcentrez&rendertype=abstract
18304266,Ferreira ID,2008,http://www.ncbi.nlm.nih.gov/pubmed/18304266
19602248,Gama BE,2009,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2716359&tool=pmcentrez&rendertype=abstract
25239550,Inoue J,2014,http://www.ncbi.nlm.nih.gov/pubmed/25239550
18411325,Mehlotra RK,2008,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2415780&tool=pmcentrez&rendertype=abstract
15772316,ABDEL-AZIZ IZ,2005,http://www.ncbi.nlm.nih.gov/pubmed/15772316
14636690,Tinto H,2003,http://www.ncbi.nlm.nih.gov/pubmed/?term=14636690
20148338,Oster N,2010,http://www.ncbi.nlm.nih.gov/pubmed/20148338
17538894,Diallo DA,2007,http://www.ncbi.nlm.nih.gov/pubmed/17538894
17904509,Meissner PE,2008,http://www.ncbi.nlm.nih.gov/pubmed/17904509
16837725,Dokomajilar C,2006,http://www.16837725.nlm.nih.gov/pubmed/16837725
20060374,Danquah I,2010,http://www.ncbi.nlm.nih.gov/pubmed/20060374
18304270,Tinto H,2008,http://www.ncbi.nlm.nih.gov/pubmed/18304270
25403659,"Baraka V, Tinto H, Valea I, Fitzhenry R, Delgado-Ratto C, Mbonye MK, Van Overmeir C, Rosanas-Urgell A, Van Geertruyden JP, D'Alessandro U, Erhart A",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=25403659
17292769,Zongo I,2007,http://www.ncbi.nlm.nih.gov/pubmed/?term=17292769
17336652,"Ratcliff A, Siswantoro H, Kenangalem E, Maristela R, Wuwung RM, Laihad F, Ebsworth EP, Anstey NM, Tjitra E, Price RN.",2007,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2532500&tool=pmcentrez&rendertype=abstract
20231394,Somé AF,2010,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=2863637&tool=pmcentrez&rendertype=abstract
25425434,"Sagara I, Oduro AR, Mulenga M, Dieng Y, Ogutu B, Tiono AB, Mugyenyi P, Sie A, Wasunna M, Kain KC, Djimdé AA, Sarkar S, Chandra R, Robbins J, Dunne MW",2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=25425434
24733476,Somé F,2014,http://www.ncbi.nlm.nih.gov/pubmed/24733476
